Comapany name,Year,Non-current asset,Current asset,Total Equity,Non-current liabilities,current liabilities,Revenue,Gross profit,Quick ratio,Profit Margin Ratio,Classifier,source
Amra Network,2018,984664250,907093831,1714595740,15418851,161743488,949509019,406326034,5.60822474,42.79327799,1,https://www.aamranetworks.com/wp-content/uploads/2018/12/ammra-networks-limited_AR-2018_04.12.18.pdf
Amra Network,2017,765088956,571543564,1021431770,16247568,298953182,795520446,311032921,1.911816292,39.09804237,1,https://www.aamranetworks.com/wp-content/uploads/2017/12/Annual-Report-2017.pdf
Amra Network,2016,690494918,389935757,899157265,15816386,165457024,381639816,147009852,2.356719271,38.52057512,1,https://www.aamranetworks.com/wp-content/uploads/2018/04/Annual-Report-2016.pdf
Amra Network,2015,637491067,305661744,835156412,14093201,93903198,305546025,117627847,3.255072783,38.49758707,1,https://www.aamranetworks.com/wp-content/uploads/2018/04/Annual-Report-2015.pdf
Amra Network,2014,471796465,387026921,574299678,62020140,222503568,595085403,238599503,1.739418943,40.09500179,1,https://www.aamranetworks.com/wp-content/uploads/2018/04/Annual-Report-2014.pdf
Amra Network,2013,393646891,207592987,355274975,100236238,145728665,515106448,220307012,1.424517181,42.76922039,0,https://www.aamranetworks.com/wp-content/uploads/2018/04/Annual-Report-2013.pdf
AmraTechnologies ltd,2018,330246671,1850736173,1286566011,214615064,679801770,1142997243,216464335,2.722464481,18.93830771,0,https://www.aamratechnologies.com/wp-content/uploads/2018/12/ammra-technologies-limited_AR-2018_5.12.18.pdf
AmraTechnologies ltd,2017,246480092,1714037990,1252879800,130097289,577540993,1171444050,198464824,2.967820485,16.94189526,0,https://www.aamratechnologies.com/wp-content/uploads/2017/12/Annual-Report-2017.pdf
AmraTechnologies ltd,2016,291594084,1627046696,1223903304,53800733,640936743,1114779623,193343541,2.538544894,17.34365582,0,https://www.aamratechnologies.com/wp-content/uploads/2016/12/ATL-Report.pdf
AmraTechnologies ltd,2015,281404207,1678195770,1197246373,32432992,729920612,1201530609,205420634,2.299148349,17.09657935,0,https://www.aamratechnologies.com/wp-content/uploads/2015/11/Annual-Report-2015.pdf
AmraTechnologies ltd,2014,310295330,1454662238,1161332989,41043436,562581143,1016522973,206133873,2.585693204,20.27832902,0,https://www.aamratechnologies.com/wp-content/uploads/2014/12/Aamra-Technologies-Limited-Annual-Report-2014.pdf
AmraTechnologies ltd,2013,307674582,1326524639,1102557653,0,531641568,717863483,184010026,2.495148459,25.63301106,0,https://www.aamratechnologies.com/wp-content/uploads/2014/09/Aamra-Technologies-Limited-Annual-Report-2013.pdf
AmraTechnologies ltd,2012,224963468,1952032126,1028963691,35884671,112147231,668400734,145205125,17.40597702,21.72426175,0,https://www.aamratechnologies.com/wp-content/uploads/2014/09/Aamra-Technologies-Limited-Annual-Report-2012.pdf
AmraTechnologies ltd,2011,52430336,913283030,505564462,41715894,614854857,512566960,108819947,1.48536361,21.23038656,0,https://www.aamratechnologies.com/wp-content/uploads/2014/09/Aamra-Technologies-Limited-Annual-Report-2012.pdf
Aman Cotton ltd,2018,1774400292,2854217154,3386614445,141964555,1100038447,1609935925,399138665,2.594652179,24.79220811,0,http://www.amancotton.com/wp-content/uploads/2019/01/Annual-Report-2018-of-ACFL-Final-Update.pdf
Aman Cotton ltd,2017,1794381963,2543511142,3129326452,151789290,1056777363,1734266045,433253940,2.406856194,24.98197674,0,http://www.amancotton.com/wp-content/uploads/2019/01/Annual-Report-2018-of-ACFL-Final-Update.pdf
Aman Cotton ltd,2016,1669006402,2418716117,2748147677,202350749,1137224093,1150687194,292245723,2.126859721,25.39749504,0,http://www.amancotton.com/mar-31-2016/
Aman Cotton ltd,2015,1423180208,2448831433,2551091733,158223344,1162696566,1338152622,336683697,2.106165533,25.16033608,0,http://www.amancotton.com/mar-31-2016/
Aziz Pipes Ltd.,2018,256125848,211202929,93748865,79319842,148124157,252473856,30541499,1.425850673,12.09689569,0,http://www.azizpipes.com/wp-content/uploads/2018/11/APL_Annual_Report_2017-18_2.pdf
Aziz Pipes Ltd.,2017,85612179,234715108,260473347,110057040,140850749,233466248,26203332,1.666410081,11.22360608,0,http://www.azizpipes.com/wp-content/uploads/2018/11/APL_Annual_Report_2017-18_2.pdf
Aziz Pipes Ltd.,2016,90048755,232657116,263232056,227757187,358180740,125788773,10959709,0.6495522791,8.712787905,0,http://www.azizpipes.com/wp-content/uploads/2017/01/APL_Annual_Report_2015-16.pdf
Aziz Pipes Ltd.,2015,110817634,239839018,255492313,173765090,432383875,118432757,3279118,0.5546900147,2.768759322,0,http://www.azizpipes.com/wp-content/uploads/2017/01/APL_Annual_Report_2015-16.pdf
Aramit Limited,2018,408700578,716189093,904428615,34422654,186038402,50644712,85610336,3.84968418,169.0410166,1,http://www.aramitgroup.com/pdf_file/FS_Annual_2018.pdf
Aramit Limited,2017,489558667,670106272,951331609,60743675,147589655,483529637,73862759,4.540333616,15.27574596,0,http://www.aramitgroup.com/pdf_file/FS_Annual_2018.pdf
Aramit Limited,2016,425981090,602331332,858599470,34378773,135334179,722234651,125205793,4.450696317,17.33588839,0,http://www.aramitgroup.com/pdf_file/FS_for_the_18_months_ended_30_June_2016_.pdf
Aramit Limited,2014,487965036,546580183,841932765,36448069,156164385,448952488,100218003,3.500030964,22.32263005,0,http://www.aramitgroup.com/pdf_file/FS_for_the_18_months_ended_30_June_2016_.pdf
Anwar Galvanizing Ltd.,2018,89399729,249572656,135650975,10409064,192912346,368290713,50929003,1.293710129,13.82847875,0,http://anwargalvanizing.com/sites/default/files/AGL%20Annual%20Report%2C%202018.pdf
Anwar Galvanizing Ltd.,2017,139372329,162839306,117780579,7321711,177109345,249107204,35653495,0.9194280855,14.31251061,0,http://anwargalvanizing.com/sites/default/files/AGL%20Annual%20Report%2C%202018.pdf
Agricultural Marketing Company Ltd. (Pran),2018,392391202,1039057752,603109489,98733718,729605747,2538528750,487016604,1.42413592,19.18499462,0,http://www.amclpran.com/annual_report_2017_18.pdf
